Order Date,Title,Category,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Payment Instrument Type,Purchase Order Number,PO Line Number,Shipment Date,Shipping Address State,Order Status,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Currency,Group Name
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,"Palmer's Cocoa Butter Formula Massage Lotion For Stretch Marks, Pregnancy Skin Care, 8.5 Ounces",SKIN_MOISTURIZER,Amazon.com,,new,Amazon.com,,$9.99,$5.19,1,CREDIT_CARD_A,,,1/5/21,NY,Shipped,$5.19,$0.46,$5.65,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,"Baby Diapers Newborn/Size 1 (8-14 lb), 198 Count - Pampers Swaddlers, ONE MONTH SUPPLY (Packaging and Prints on Diapers May Vary)",INCONTINENCE_PROTECTOR,Amazon.com,,new,Amazon.com,,$49.99,$48.28,1,CREDIT_CARD_B,,,1/8/21,NY,Shipped,$48.28,$0.00,$48.28,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,"Similac Pro-Advance Infant Formula with 2'-FL Human Milk Oligosaccharide (HMO) for Immune Support, Ready to Drink Bottles, 2 Fl Oz (48 Count)",HEALTH_PERSONAL_CARE,Amazon.com,,new,Amazon.com,,$51.99,$51.99,1,CREDIT_CARD_B,,,1/9/21,NY,Shipped,$51.99,$0.00,$51.99,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,"Playtex Diaper Genie Carbon Filter, Ideal for Use with Diaper Genie Complete, Odor Eliminator",WASTE_BAG,Amazon.com,,new,Amazon.com,,$4.49,$4.49,1,CREDIT_CARD_B,,,1/9/21,NY,Shipped,$4.49,$0.40,$4.89,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,"Playtex Diaper Genie Refill Bags, Ideal for Diaper Genie Diaper Pails, 270 Count (Pack of 3)",WASTE_BAG,Amazon.com,,new,Amazon.com,,$20.19,$18.00,1,CREDIT_CARD_B,,,1/10/21,NY,Shipped,$18.00,$1.60,$19.60,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,"Baby Wipes, Pampers Sensitive Water Based Baby Diaper Wipes, Hypoallergenic and Unscented, 8 Refill Packs (Tub Not Included), 72 each, Pack of 8 (Packaging May Vary)",SKIN_CLEANING_WIPE,Amazon.com,,new,Amazon.com,,$19.99,$14.99,1,Gift Certificate/Card,,,1/10/21,NY,Shipped,$14.99,$1.24,$16.23,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
